CLocus_22656_2, 3
CLocus_131931_1, 7
CLocus_103603_3, 8
CLocus_134332_2, 10
CLocus_117970_4, 11
CLocus_22656_5, 21
CLocus_23459_4, 0
CLocus_129175_3, 5
CLocus_57720_6, 2
CLocus_19489_5, 2
CLocus_19489_9, 2
CLocus_65906_6, 7
CLocus_38234_3, 15
CLocus_74021_0, 14
CLocus_128553_8, 2
CLocus_39479_0, 5
CLocus_97312_2, 3
CLocus_34762_2, 40
CLocus_17616_1, 3
CLocus_412748_1, 2
CLocus_23896_4, 1
CLocus_111794_0, 10
CLocus_49901_3, 4
CLocus_15453_3, 33
CLocus_30760_4, 10
CLocus_26394_3, 13
CLocus_110852_0, 5
CLocus_410875_2, 34
CLocus_108068_3, 18
CLocus_131038_8, 4
CLocus_411031_2, 3
CLocus_14752_2, 0
CLocus_84748_2, 14
CLocus_129175_2, 6
CLocus_19489_8, 1
CLocus_463351_7, 21
CLocus_69900_2, 19
CLocus_57868_4, 24
CLocus_57868_0, 19
CLocus_133977_6, 32
CLocus_85389_2, 9
CLocus_61399_0, 14
CLocus_67903_2, 12
CLocus_57934_1, 15
CLocus_26394_4, 20
CLocus_93850_4, 5
CLocus_133977_1, 30
CLocus_93346_1, 14
CLocus_412748_5, 6
CLocus_113107_3, 1
CLocus_63305_4, 16
CLocus_117970_2, 6
CLocus_26460_0, 27
CLocus_20796_3, 1
CLocus_61399_5, 19
CLocus_86842_7, 15
CLocus_704_6, 24
CLocus_17616_5, 7
CLocus_45384_4, 6
CLocus_70449_4, 12
CLocus_23896_3, 0
CLocus_74750_1, 26
CLocus_55804_4, 13
CLocus_65906_0, 37
CLocus_410875_1, 17
CLocus_410875_3, 14
CLocus_412748_3, 2
CLocus_65906_3, 12
CLocus_50320_5, 35
CLocus_704_0, 22
CLocus_16548_2, 15
CLocus_63305_3, 19
CLocus_63305_1, 21
CLocus_67903_4, 20
CLocus_108068_2, 1
CLocus_473077_1, 24
CLocus_45384_5, 18
CLocus_86842_0, 49
CLocus_117970_0, 12
CLocus_15453_5, 25
CLocus_49901_4, 4
CLocus_52528_0, 0
CLocus_79822_0, 17
CLocus_44188_0, 0
CLocus_129175_8, 4
CLocus_97312_1, 5
CLocus_704_4, 31
CLocus_22656_3, 3
CLocus_134332_4, 18
CLocus_86842_2, 24
CLocus_45384_0, 0
CLocus_129982_6, 5
CLocus_96694_0, 25
CLocus_134332_6, 10
CLocus_74750_0, 17
CLocus_30541_0, 15
CLocus_20796_0, 1
CLocus_79822_1, 56
CLocus_27293_1, 11
CLocus_26460_1, 31
CLocus_74021_3, 35
CLocus_67903_0, 6
CLocus_57868_7, 2
CLocus_63305_0, 20
CLocus_131931_3, 22
CLocus_56728_6, 9
CLocus_89766_3, 7
CLocus_30541_3, 5
CLocus_76949_3, 22
CLocus_74021_4, 23
CLocus_17407_0, 15
CLocus_80147_2, 2
CLocus_50320_4, 29
CLocus_88704_0, 6
CLocus_65906_1, 18
CLocus_463351_6, 20
CLocus_19489_4, 2
CLocus_19489_10, 6
CLocus_63027_0, 9
CLocus_85389_0, 7
CLocus_68687_0, 46
CLocus_98840_0, 23
CLocus_72985_1, 2
CLocus_45071_0, 12
CLocus_237309_1, 9
CLocus_85027_0, 22
CLocus_30760_5, 24
CLocus_76949_1, 32
CLocus_103603_5, 8
CLocus_129175_5, 5
CLocus_30760_6, 20
CLocus_43770_1, 12
CLocus_23459_2, 0
CLocus_410875_5, 15
CLocus_72985_3, 2
CLocus_133977_4, 26
CLocus_29775_2, 4
CLocus_704_1, 30
CLocus_96694_4, 8
CLocus_2906_0, 28
CLocus_129982_2, 2
CLocus_134332_8, 10
CLocus_134332_5, 13
CLocus_93346_6, 27
CLocus_57720_5, 2
CLocus_412040_1, 11
CLocus_74750_4, 17
CLocus_38234_4, 7
CLocus_38234_6, 17
CLocus_51281_3, 7
CLocus_53925_0, 11
CLocus_20796_4, 1
CLocus_93346_0, 15
CLocus_34762_1, 18
CLocus_58665_0, 11
CLocus_131931_5, 9
CLocus_86842_4, 17
CLocus_110494_0, 9
CLocus_131038_0, 2
CLocus_16063_1, 42
CLocus_129982_3, 9
CLocus_51281_2, 15
CLocus_76949_6, 40
CLocus_93850_1, 17
CLocus_38234_0, 6
CLocus_57868_6, 33
CLocus_69900_8, 9
CLocus_58665_3, 1
CLocus_15533_2, 2
CLocus_23459_3, 0
CLocus_108068_1, 4
CLocus_45384_3, 9
CLocus_96694_1, 21
CLocus_237309_0, 9
CLocus_89766_0, 3
CLocus_467588_1, 6
CLocus_51281_1, 10
CLocus_44451_5, 8
